event_time,session_id,student_id,course_id,language,level,event_type,question,answer_length,stt_time,llm_time,tts_time,total_time,kpi_ok,subject,chapter_idx,section_idx,confidence,interruptions
2026-04-09T23:21:26.002450,b5a38108-c144-431c-93d9-54896847fa1b,,,en,lycée,qa,what is data minig,36,0,4.111,0.828,4.939,True,,0,0,0.0,0
2026-04-09T23:41:14.837945,4d0af9d5-83cb-448f-af3f-62854464155d,,,en,lycée,qa,what is data mining,36,0,6.952,0.979,7.931,False,,0,0,0.0,0
2026-04-10T14:08:13.651175,6903ba86-143e-4a39-8c63-2a08c23bdd73,,,en,lycée,qa,what is data minig,36,0,57.325,1.41,58.735,False,,0,0,0.0,0
2026-04-10T15:07:44.150741,1db96c6d-fa45-4e3c-b54d-29496c840988,,,en,lycée,qa,CAN YOU explain what is data minig,1671,0,247.848,4.305,252.153,False,,0,0,0.0,0
2026-04-10T15:11:48.264096,1db96c6d-fa45-4e3c-b54d-29496c840988,,,en,lycée,qa,question: Can you explain the difference between Artificial Intelligence (AI) and Data Mining?,1258,0,135.826,5.413,141.24,False,,0,0,0.0,0
2026-04-10T15:17:01.659388,1db96c6d-fa45-4e3c-b54d-29496c840988,,,en,lycée,qa,question: Can you explain the difference between Artificial Intelligence (AI) and Data Mining?,1466,0,187.784,18.082,205.865,False,,0,0,0.0,0
2026-04-10T15:21:02.915060,1db96c6d-fa45-4e3c-b54d-29496c840988,,,en,lycée,qa,How would you describe the relationship between Artificial Intelligence (AI) and Data Mining?,1260,0,131.837,16.644,148.482,False,,0,0,0.0,0
2026-04-10T15:27:27.263118,1db96c6d-fa45-4e3c-b54d-29496c840988,,,ar,lycée,qa,ماهو هدا الدرس,32,0,302.853,1.229,304.082,False,,0,0,0.0,0
2026-04-10T18:53:30.570875,b573769a-114c-437c-a911-8492ae2440ce,,,en,lycée,qa,what is data mining,1044,0,192.892,4.401,197.294,False,,0,0,0.0,0
