event_time,session_id,student_id,course_id,language,level,event_type,question,answer_length,stt_time,llm_time,tts_time,total_time,kpi_ok,subject,chapter_idx,section_idx,confidence,interruptions
2026-04-02T11:32:49.708582,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-02T11:34:47.266368,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-02T11:40:19.069900,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-02T11:47:35.230693,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,3,0.0,0
2026-04-02T11:51:52.583360,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,4,0.0,0
2026-04-02T11:52:00.812810,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,3,0.0,0
2026-04-02T11:52:02.419689,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,4,0.0,0
2026-04-02T11:54:18.088549,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,5,0.0,0
2026-04-02T11:54:18.115560,75ba8cc3-d0e0-4715-82c0-817566c3691d,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,4,0.0,0
2026-04-02T12:13:28.642239,0b9d9fb8-f1f0-4b50-b258-5531666e41fc,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-02T12:21:14.290550,a387350e-b289-47ff-9dad-8b101ca97b36,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-02T13:26:21.195184,05d7fff7-b7c3-470d-9b41-cdf359f66e08,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-02T13:26:26.001131,05d7fff7-b7c3-470d-9b41-cdf359f66e08,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-02T13:29:38.283416,9fa9c6b7-0166-457a-ab09-f453df03f135,,13626e5a-c78e-43e4-83cb-76d2e254548e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-02T13:29:45.750732,9fa9c6b7-0166-457a-ab09-f453df03f135,,13626e5a-c78e-43e4-83cb-76d2e254548e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-02T13:29:46.915061,9fa9c6b7-0166-457a-ab09-f453df03f135,,13626e5a-c78e-43e4-83cb-76d2e254548e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-02T13:29:48.034299,9fa9c6b7-0166-457a-ab09-f453df03f135,,13626e5a-c78e-43e4-83cb-76d2e254548e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,3,0.0,0
