event_time,session_id,student_id,course_id,language,level,event_type,question,answer_length,stt_time,llm_time,tts_time,total_time,kpi_ok,subject,chapter_idx,section_idx,confidence,interruptions
2026-04-01T16:09:50.142332,c92eda5c-2c25-41f1-b695-d5f2d67efc6b,,9ead61a9-b126-4bb8-ad17-373c51177d75,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T16:12:00.332599,94be1954-d763-42be-a346-40bfab1ddf3f,,9ead61a9-b126-4bb8-ad17-373c51177d75,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T16:46:10.392649,59924fcd-3cda-4788-945f-11046494db0c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T16:46:27.238836,59924fcd-3cda-4788-945f-11046494db0c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-01T16:46:38.532232,59924fcd-3cda-4788-945f-11046494db0c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T16:46:42.998529,59924fcd-3cda-4788-945f-11046494db0c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-01T16:46:44.552244,59924fcd-3cda-4788-945f-11046494db0c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-01T18:13:12.656652,a62346dd-b0ee-4601-bebe-918cdb1320ce,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T18:16:47.454152,caa267ce-b188-48b2-9077-2bb580970a6b,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T18:22:50.927394,e8820a2c-2044-42b8-988e-8c64687439fa,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T18:37:14.659002,5c77064e-dfd0-4d7d-aa8e-c2419febc62b,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T18:42:49.169432,7ab454fa-5eba-4c3c-ab65-26797a22fae9,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T18:44:24.239726,7ab454fa-5eba-4c3c-ab65-26797a22fae9,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-01T18:52:50.939460,458f76b4-61ef-454d-8ddf-ac5cfaefae36,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T19:07:40.503317,f3d05662-b7e0-4932-a547-9c3df1a8f701,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T19:12:21.260017,43be97e1-931c-488b-9980-4ead66f1cbf7,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T19:27:31.270747,64d754c1-1d91-4377-a24a-42642eb0d98c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T19:29:51.243447,64d754c1-1d91-4377-a24a-42642eb0d98c,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-01T19:41:28.049362,82affd2e-ba49-499d-af1c-bf8f0175972a,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-01T19:43:39.507497,82affd2e-ba49-499d-af1c-bf8f0175972a,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,1,0.0,0
2026-04-01T19:48:19.802993,82affd2e-ba49-499d-af1c-bf8f0175972a,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-01T19:49:34.369965,82affd2e-ba49-499d-af1c-bf8f0175972a,,d3409de6-b1b6-4461-82c5-8c918a30ed6e,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,3,0.0,0
