event_time,session_id,student_id,course_id,language,level,event_type,question,answer_length,stt_time,llm_time,tts_time,total_time,kpi_ok,subject,chapter_idx,section_idx,confidence,interruptions
2026-04-22T10:03:38.373342,654f9c3f-9cf4-4c3c-a65f-df0186a0974b,,90362aee-9daa-4c94-af46-4b72641727c6,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-22T10:13:49.451138,728cb5b0-24b9-438b-b24e-e44677d849b5,,90362aee-9daa-4c94-af46-4b72641727c6,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-22T10:37:26.288488,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,en,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-22T10:38:53.124045,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-22T10:47:49.408712,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,4,0.0,0
2026-04-22T10:47:51.430905,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-22T10:47:56.447113,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,0,0.0,0
2026-04-22T10:47:57.735462,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,2,0.0,0
2026-04-22T10:47:58.349433,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,4,0.0,0
2026-04-22T10:47:59.549089,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,6,0.0,0
2026-04-22T10:48:00.061029,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,8,0.0,0
2026-04-22T10:48:00.306352,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,10,0.0,0
2026-04-22T10:48:00.548208,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,12,0.0,0
2026-04-22T10:48:00.770546,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,14,0.0,0
2026-04-22T10:48:01.218570,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,16,0.0,0
2026-04-22T10:48:01.417665,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,18,0.0,0
2026-04-22T10:48:01.610238,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,20,0.0,0
2026-04-22T10:48:01.821816,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,22,0.0,0
2026-04-22T10:48:02.148573,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,24,0.0,0
2026-04-22T10:48:02.367444,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,26,0.0,0
2026-04-22T10:48:02.577951,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,28,0.0,0
2026-04-22T10:48:02.814692,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,30,0.0,0
2026-04-22T10:48:03.193910,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,32,0.0,0
2026-04-22T10:48:03.555299,d630433f-c045-481d-aa25-83f27e08a1b0,,90362aee-9daa-4c94-af46-4b72641727c6,fr,lycée,section_start,,0,0.0,0.0,0.0,0.0,False,,0,33,0.0,0
